Russian,English
|Очень низкоактивные отходы (ОНАО). |,"Very low level waste (VLLW): Waste that does not necessarily meet the criteria of EW, but that does not need a high level of containment and isolation and, therefore, is suitable for disposal in near surface landfill type facilities with limited regulatory control. |Отходы, которые необязательно отвечают критериям ОО, но применительно к которым не требуется высокий уровень локализации и изоляции, вследствие чего они пригодны для приповерхностного захоронения на полигонах с земляной засыпкой, где действует ограниченный регулирующий контроль. |"
Such landfill type facilities may also contain other hazardous waste. |Такие приповерхностные полигоны могут содержать и другие опасные отходы. |,Concentrations of longer lived radionuclides in VLLW are generally very limited.|Концентрация более долгоживущих радионуклидов в составе ОНАО обычно весьма ограничена.|
|Низкоактивные отходы (НАО). |,"Low level waste (LLW): Waste that is above clearance levels, but with limited amounts of long lived radionuclides. |Отходы, которые выходят за рамки уровня освобождения от"
"контроля, но содержат ограниченные количества долгоживущих радионуклидов. |",Such waste requires robust isolation and containment for periods of up to a few hundred years and is suitable for disposal in engineered near surface facilities. |Такие отходы требуют надежной изоляции и локализации в течение периодов времени продолжительностью до нескольких сотен лет и пригодны для захоронения на соответствующим образом обустроенных приповерхностных пунктах захоронения. |
This class covers a very broad range of waste. |Этот класс охватывает весьма широкий спектр различных отходов. |,"LLW may include short lived radionuclides at higher levels of activity concentration, and also long lived radionuclides, but only at relatively low levels of activity concentration.|НАО могут содержать короткоживущие радионуклиды с более высокими уровнями объемной активности, а также долгоживущие радионуклиды, но только при условии сравнительно низкой объемной активности.|"
"Intermediate level waste (ILW): Waste that, because of its content, particularly of long lived radionuclides, requires a greater degree of containment and isolation than that provided by near surface disposal. |Среднеактивные отходы (САО): Отходы, которые из-за своего состава, особенно в силу присутствия долгоживущих радионуклидов, нуждаются в более высокой степени локализации и изоляции, чем при использовании способа приповерхностного захоронения. |","However, ILW needs no provision, or only limited provision, for heat dissipation during its storage and disposal. |Тем не менее во время хранения или захоронения САО не требуется обеспечивать отвод тепла, либо он требуется лишь в ограниченном объеме. |"
"ILW may contain long lived radionuclides, in particular, alpha emitting radionuclides that will not decay to a level of activity concentration acceptable for near surface disposal during the time for which institutional controls can be relied upon. |САО могут содержать долгоживущие радионуклиды, в частности альфа-излучающие радионуклиды, которые в течение срока, во время которого можно рассчитывать на ведомственный контроль, не распадутся до уровня объемной активности, допустимого при приповерхностном захоронении. |","Therefore, waste in this class requires disposal at greater depths, of the order of tens of meters to a few hundred metres.|Соответственно, требуется захоронение отходов этого класса на больших глубинах — от нескольких десятков до нескольких сотен метров.|"
"High level waste (HLW): Waste with levels of activity concentration high enough to generate significant quantities of heat by the radioactive decay process or waste with large amounts of long lived radionuclides that need to be considered in the design of a disposal facility for such waste. |Высокоактивные отходы (ВАО): Отходы, уровень объемной активности которых достаточно высок для того, чтобы в процессе радиоактивного распада происходило выделение значительного количества тепла, либо отходы с высокой массовой долей долгоживущих радионуклидов, которая должна приниматься в расчет при проектировании пункта захоронения таких отходов. |","Disposal in deep, stable geological formations usually several hundred metres or more below the surface is the generally recognized option for disposal of HLW.|Общепризнанным вариантом захоронения ВАО является их помещение в глубокие стабильные геологические формации, обычно расположенные на глубине нескольких сотен метров или более от поверхности земли.|"
"These waste classes provide general guidance for the duration and robustness of containment and isolation, as well as other considerations such as related to heat dissipation, that are needed for the safe disposal of waste. |Представленные выше классы отходов дают общее представление о продолжительности и надежности их локализации и изоляции, а также о других моментах, в том числе касающихся рассеяния тепла, которые должны приниматься во внимание для безопасного захоронения отходов. |",They allow inferring general guidance on suitable options for a corresponding disposal facility.|На их основе можно вывести общие рекомендации относительно подходящих вариантов захоронения отходов на соответствующем пункте захоронения.|
"DSRS inventory, corresponding radionuclide characteristics and waste classes|Общее количество ИЗРИ, характеристики соответствующих радионуклидов и классы отходов|","If the DSRS inventory includes several classes of waste, then different options need to be considered for their disposal, ranging from near surface to geological disposal, and including borehole type facilities of varying depths. |Если общее количество ИЗРИ включает в себя несколько классов отходов, то для выбора способа их захоронения необходимо рассмотреть различные варианты, от приповерхностного до геологического захоронения, включая пункты скважинного захоронения с различной глубиной. |"
"Safety considerations allow regrouping the inventory in the disposal option suitable for the higher level waste class. |С учетом соображений безопасности допускается возможность отнесения имеющихся ИЗРИ к тому варианту захоронения, который подходит для класса более высокоактивных отходов. |","However, considerations of cost, overall volume of DSRS inventory, and the possible option of making use of existing facilities for lower level waste classes may suggest disposing of the DSRS inventory in several, suitable disposal facilities.|Тем не менее, исходя из соображений, касающихся стоимости, общего количества ИЗРИ и возможности использования существующих пунктов захоронения отходов меньшего уровня активности, может быть рассмотрена возможность захоронения имеющихся ИЗРИ на нескольких подходящих пунктах захоронения.|"
"The analysis of disposal needs can only be carried out if the inventory of DSRSs declared as waste is known. |Анализ потребностей в захоронении может быть выполнен только в том случае, если известно общее количество ИЗРИ, заявленных как отходы. |","DSRSs exhibit a high degree of variability in their physical and radiological characteristics, such as radionuclide content, half-lives, total activities and activity concentration. |Для ИЗРИ характерна высокая степень изменчивости физических и радиологических характеристик, таких как содержание радионуклидов, периоды полураспада, суммарная активность и объемная активность. |"
"These characteristics determine the waste class they should be assigned to, consistent with the classification presented in the previous section, and thus the duration and robustness of containment and isolation expected from the selected disposal option. |Эти характеристики определяют класс отходов, к которому они должны быть отнесены в соответствии с представленной в предыдущем разделе классификацией, и, следовательно, продолжительность и надежность локализации и изоляции отходов, которую должен обеспечивать выбранный вариант захоронения. |","There is no exact correspondence between source categories 1 through 5 and the waste class they will eventually belong to. |Между категориями источников 1-5 и классом отходов, к которому они в конечном итоге будут отнесены, нет точного соответствия. |"
"Obviously, sources containing radionuclides with higher activities and longer half-lives require a greater degree of containment and isolation and may need to be considered ILW. |Очевидно, что источники, содержащие радионуклиды с более высокой активностью и более длительным периодом полураспада, нуждаются в более высокой степени локализации и изоляции и, вероятно, должны рассматриваться как САО. |",Others may qualify as VLLW.|Другие источники могут быть классифицированы как ОНАО.|
Some preliminary guidance can be provided based on the analysis of common DSRSs and associated radionuclide properties. |На основе анализа распространенных типов ИЗРИ и их соответствующих радионуклидных характеристик могут быть сформулированы некоторые предварительные рекомендации. |,"Data on the radionuclides used in SRSs for various applications are summarized in Ref. [23]. |Данные о радионуклидах, используемых в ЗРИ для различных применений, обобщены в [23]. |"
"Table 8 is based on the data presented in Ref. [23] and by way of example contains the half-lives and the range of activities of some radionuclides being used in SRSs.|Таблица 8 составлена на основе данных, представленных в [23], и в качестве примера содержит информацию о периоде полураспада и диапазоне активности некоторых используемых в ЗРИ радионуклидов.|",TABLE 8. |ТАБЛИЦА 8. |
"THE HALF-LIVES AND THE RANGE OF ACTIVITIES OF SELECTED RADIONUCLIDES USED IN SRSs FOR VARIOUS APPLICATIONS|ПЕРИОД ПОЛУРАСПАДА И ДИАПАЗОН АКТИВНОСТИ ОТДЕЛЬНЫХ РАДИОНУКЛИДОВ, ИСПОЛЬЗУЕМЫХ В ЗРИ ДЛЯ РАЗЛИЧНЫХ ПРИМЕНЕНИЙ|",Main radionuclide|Основной радионуклид|
Half-life|Период полураспада|,Minimum activity for nuclide (Bq)|Минимальная активность нуклида (Бк)|
Maximum activity for nuclide (Bq)|Максимальная активность нуклида (Бк)|,Application|Применение|
3H|3H|,"12.3 a|12,3 года|"
"1.9E + 09|1,9-109|","1.1E + 10|1,14010|"
"Military, industrial applications, gaseous light emitting devices, targets for neutron tubes|Военные, промышленные применения, газонаполненные светоизлучающие приборы, мишени для нейтронных трубок|",60Co|60Co|
"5.3 a|5,3 года|",9.3E + 09|9.3E + 09|
5.6E + 17|5.6E + 17|,"Irradiators, teletherapy, industrial radiography, brachytherapy, industrial gauges|Облучатели, дистанционная лучевая терапия, промышленная радиография, брахитерапия, промышленные измерительные приборы|"
75Se|75Se|,120 d|120 суток|
3.0E + 12|3.0E + 12|,3.0E + 12|3.0E + 12|
Industrial radiography|Промышленная радиография|,85Kr|85Kr|
"10.7 a|10,7 года|","1.9E + 09|1,9-109|"
"3.7E + 10|3,74010|","Industrial gauges, lightning rods|Промышленные измерительные приборы, молниеотводы|"
90Sr|90Sr|,"28.6 a|28,6 года|"
"3.7E + 08|3,7-108|","2.5E + 16|2,54016|"
"RTGs, thickness measurement, eye applicators|РИТЭГ, изотопные толщиномеры, аппликаторы для глаз|",125I|125I|
60 d|60 суток|,"1.5E + 09|1,5^109|"
3.0E + 10|3Д1010|,Brachytherapy|Брахитерапия|
137Cs|137Cs|,"30.1 a|30,1 года|"
"3.0E + 08|3,0-108|","1.9E + 17|1,9^1017|"
"Irradiators, brachytherapy, industrial gauges, well logging/moisture gauges|Облучатели, брахитерапия, промышленные измерительные приборы, каротажное оборудование, влагомеры|",169Yb|169Yb|
32 d|32 суток|,"9.3E + 10|9,34010|"
"3.7E + 11|3,7^1011|",Industrial radiography|Промышленная радиография|
170Tm|170Tm|,129 d|129 суток|
"7.4E + 11|7,4-1011|","7.4E + 12|7,4^1012|"
Industrial radiography|Промышленная радиография|,192Ir|192Ir|
74 d|74 суток|,"7.4E + 08|7,4-108|"
"7.4E + 12|7,4^1012|","Industrial radiography, brachytherapy|Промышленная радиография, брахитерапия|"
226Ra|226Ra|,1600 a|1600 лет|
"2.6E + 05|2,6-105|","1.9E + 09|1,9^109|"
"Brachytherapy, lightning rods, smoke detectors|Брахитерапия, молниеотводы, дымовые пожарные извещатели|",238Pu|238Pu|
"87.8 a|87,8 года|",1.1E + 11|1Д4011|
"1.0E + 13|1,0-1013|","RTGs, pacemakers|РИТЭГ, кардиостимуляторы|"
239Pu-Be|239Pu-Be|,24 100 a|24 100 лет|
"7.4E + 10|7,44010|","3.7E + 11|3,7^1011|"
Research|Научные исследования|,241Am|241Am|
432 a|432 года|,"4.8E + 07|4,8-107|"
"8.5E + 11|8,5^1011|","Industrial gauges, smoke detectors, lightning rods, bone densitometry|Промышленные измерительные приборы, дымовые пожарные извещатели, молниеотводы, костная денситометрия|"
241Am-Be|241Am-Be|,432 a|432 года|
"1.9E + 10|1,9-1010|","8.5E + 11|8,54011|"
Research|Научные исследования|,244Cm|244Cm|
"18.1 a|18,1 года|","7.4E + 09|7,4-109|"
"3.7E + 10|3,74010|",Industrial gauges|Промышленные измерительные приборы|
252Cf|252Cf|,"2.6 a|2,6 года|"
"1.1E + 06|1,1406|","4.1E + 09|4,1-109|"
"Industrial gauges, oil well logging, neutron activation, medical application","|Промышленные измерительные приборы, каротажное оборудование нефтяных скважин, нейтронно-активационные методы, медицина|"
"It should be noted that the activity ranges provided in Table 8 refer to sources in use. |Следует заметить, что представленные в таблице 8 диапазоны активности относятся к источникам, находящимся в эксплуатации. |","When becoming disused, the source activities are at or below the indicated minimum activity, and further decrease according to their half-lives. |После изъятия источника из употребления его активность близка к указанному минимальному уровню или ниже его и продолжает снижаться и далее в зависимости от периода полураспада. |"
"By way of example, a DSRS inventory having specific source properties may be suitable for the following disposal options:|В качестве примера ниже приведены ИЗРИ с определенными характеристиками источника, для которых могут быть пригодны различные варианты захоронения.|","— Radioactive sources containing levels of activity below clearance levels, as might be the case e.g. for smoke detectors and provided this option is foreseen by national regulation, may be disposed of in landfills, consistent with the management option for exempt waste.|— Радиоактивные источники, уровень активности которых не превышает уровня освобождения от контроля, как, например, в случае дымовых пожарных извещателей, и при условии, что данный вариант захоронения предусмотрен национальным законодательством, могут быть захоронены на полигонах с земляной засыпкой по схеме обращения с отходами, освобожденными от регулирующего контроля.|"
"— Radioactive sources of low to medium activity with very short half-lives (typically less than about 100 days) will decay to clearance levels in a few years. |— Радиоактивные источники низкой и средней активности с очень коротким периодом полураспада (обычно менее 100 дней) через несколько лет распадутся до состояния, соответствующего уровню освобождения от контроля. |","From a waste management point of view such sources can be safely allowed to decay in a storage facility, consistent with the management option for VSLW.|Если говорить о методике обращения с отходами, то такие источники могут быть безопасно оставлены в пункте хранения до завершения их распада согласно схеме обращения, применимой к ОКЖО.|"
"— Radioactive sources containing very low levels of activity, even though they may contain very long lived radionuclides such as 14C (half-life = 5700 a), 36Cl (half-life = 300 000 a) and 129I (half-life = 17 million a), such as may be used e.g. for the calibration of instruments, might be acceptable at near-surface, landfill type disposal facilities, consistent with the management of VLLW.|— Захоронение радиоактивных источников с очень низким уровнем активности, даже если они содержат очень долгоживущие радионуклиды, в частности 14C (период полураспада = 5700 лет), 36Cl (период полураспада = 300 000 лет) и 129I (период полураспада = 17 млн. лет), используемых, например, для калибровки приборов, допускается на пунктах приповерхностного захоронения с земляной засыпкой согласно схеме обращения, применимой к ОНАО.|","— Radioactive sources with short half-lives (up to about 30 years, such as 60Co, 90Sr and 137Cs) can generally be disposed of at near surface facilities provided that their activity will decrease to limits set by the safety analysis during planned duration of the institutional control and provided that any criteria on activity density are respected, consistent with the management option for LLW. |— Радиоактивные источники с коротким периодом полураспада (примерно до 30 лет, такие как 60Co, 90Sr и 137Cs), как правило, могут быть захоронены на приповерхностных пунктах при условии, что в течение планируемого периода ведомственного контроля их активность снизится до пределов, установленных при оценке безопасности, и при условии соблюдения всех критериев объемной активности согласно схеме обращения, применимой к НАО. |"
"For a rough estimate, this is relevant to sources decreasing activity to clearance levels within 300 years and not exceeding specific activities defined in the safety case.|Условно говоря, это применимо к источникам, активность которых снизится до уровня освобождения от контроля в течение 300 лет и удельная активность которых ниже пределов, установленных в обосновании безопасности.|","— High activity sources of short half-life, as well as sources containing long lived radionuclides, such as 238Pu and 226Ra, may require geological disposal providing for long term safety, consistent with the management option for ILW.|— Высокоактивные источники с коротким периодом полураспада, а также источники, содержащие долгоживущие радионуклиды, такие как 238Pu и 226Ra, могут требовать захоронения в геологических формациях, которое обеспечит долгосрочную безопасность, согласно схеме обращения, применимой к САО.|"
"All of the above are examples referring to disposal facilities developed for the management of radioactive waste in general. |Все вышеперечисленные примеры относятся к пунктам захоронения, спроектированным для обращения с радиоактивными отходами в целом. |","If a specific disposal facility dedicated for DSRSs is to be developed, borehole disposal may be the most efficient option providing for a suitable degree of protection [73]. |Если планируется создать объект, специально предназначенный для захоронения ИЗРИ, то наиболее эффективным вариантом, обеспечивающим приемлемую степень защиты, может являться скважинное захоронение [73]. |"
"Depending on its siting and depth of emplacement, it could in principle provide for the level of isolation and containment consistent with LLW, as well as ILW. |В зависимости от местоположения такого объекта и глубины размещения источников, он может в принципе обеспечивать уровень изоляции и локализации, достаточный для НАО, а также САО. |",Such a borehole could be sited as a stand-alone facility or co-sited with another disposal facility.|Такая скважина может быть обустроена как отдельный объект либо размещена на одной площадке с другим пунктом захоронения.|
"Quantitative aspects, e.g. values of allowable activity content for each significant radionuclide as well as values for local concentration of activities and thermal output will be specified on the basis of safety assessments for the actual disposal facility. |Количественные аспекты, например значения допустимого уровня активности каждого значимого радионуклида, а также значения локальной объемной активности и тепловыделения, будут уточняться на основе оценок безопасности конкретного пункта захоронения. |","These in turn refer to the safety scenarios used for the assessments, including considerations of radionuclide release and transfer to the accessible environment and likelihood of inadvertent intrusion. |Эти значения имеют отношение к используемым в оценках сценариям развития событий в области безопасности, включая учет возможности выброса радионуклидов и их переноса в доступную окружающую среду и вероятности случайного проникновения. |"
"These can then be specified as part of WAC, as a management tool assisting the decision whether given radioactive waste can be safely disposed of in this facility.|Эти качественные аспекты могут быть затем оговорены в КПО и использоваться в качестве управленческого инструмента при принятии решения о том, могут ли данные радиоактивные отходы быть безопасно захоронены на данном пункте.|",DSRS disposal options in the context of the national radioactive waste inventory|Варианты захоронения ИЗРИ с учетом общего положения дел с радиоактивными отходами в стране|
"When selecting a suitable disposal option for the DSRS inventory declared as waste, this should be done consistently with the broader picture of the national socio-political and regulatory context and take into account: (i) radioactive waste inventory; (ii) site characteristics; and (iii) disposal facility design. |Выбор приемлемого варианта захоронения всех имеющихся ИЗРИ, заявленных как отходы, должен делаться сообразно более общему социально-политическому положению и состоянию системы регулирования в стране и с учетом: i) общего объема радиоактивных отходов; ii) характеристик площадок; iii) проектного решения пунктов захоронения. |",This national context is illustrated in Fig. 107.
|Эти национальные условия проиллюстрированы на рис. 107.|,FIG. 107. |РИС. 107. |
"Characteristics of the entire waste inventory as an influence on repository design.|Характеристики всего имеющегося объема отходов как фактор, влияющий на проектирование хранилища.|","For small radioactive waste management programmes, consisting essentially or exclusively of DSRSs declared as waste, the development of one or several dedicated disposal facilities is called for. |Для небольших программ обращения с радиоактивными отходами, которые состоят главным образом или исключительно из ИЗРИ, заявленных как отходы, рекомендуется создание одного или нескольких специализированных пунктов захоронения. |"
"A well studied solution capable of providing for efficient and safe disposal of small volumes of radioactive waste is the borehole disposal concept [73]. |Хорошо изученным решением, которое способно обеспечить эффективное и безопасное захоронение небольших объемов радиоактивных отходов, является скважинное захоронение [73]. |","If gaining initial experience with implementing the borehole disposal concept is necessary, then a suitable option might be to first dispose of DSRSs identified to be LLW in a dedicated borehole disposal facility, and in a later, second step dispose of those DSRSs identified to be ILW in a separate borehole disposal facilities providing for more robust isolation and containment. |Если необходимо получить начальный опыт реализации проектов скважинного захоронения, подходящим вариантом может стать сначала захоронение ИЗРИ, идентифицированных как НАО, в специально предназначенном для этого пункте скважинного захоронения, а затем, на последующем этапе, захоронение ИЗРИ, идентифицированных как САО, в отдельном пункте скважинного захоронения, обеспечивающем их более надежную изоляцию и локализацию. |"
"If on the other hand, experience could already be gained with a prior implementation of the borehole disposal concept, effectively demonstrating its robustness, then it might be preferable to select the disposal option suitable for ILW and co-dispose DSRSs qualifying as LLW in that same borehole.|С другой стороны, если в ходе предварительной реализации проектов скважинного захоронения соответствующий опыт уже мог быть получен и надежность такого способа захоронения была подтверждена на практике, предпочтительным решением может стать выбор варианта захоронения, приемлемого для САО, и размещение в той же самой скважине ИЗРИ, идентифицированных как НАО.|","How to adapt disposal of DSRSs declared as waste to the wider radioactive waste management infrastructure, for instance to already existing or planned disposal facilities destined to receive VLLW or LLW, needs to be considered as well.|Необходимо также рассмотреть вопрос о том, как приспособить захоронение ИЗРИ, заявленных как отходы, к более широкой инфраструктуре обращения с радиоактивными отходами, например к уже существующим или проектируемым пунктам захоронения, предназначенным для приема ОНАО или НАО.|"
"For radioactive waste management programmes having to contend with a larger inventory, e.g. of LLW and DSRSs, several options can be considered. |Для программ обращения с радиоактивными отходами, рассчитанным на обработку большего объема отходов, например НАО и ИЗРИ, можно рассмотреть несколько вариантов захоронения. |","The inventory of DSRSs declared as waste acceptable for disposal in a near surface disposal facility for LLW could be conditioned in a suitable waste package and disposed of as other LLW. |Имеющиеся ИЗРИ, заявленные как отходы, которые допускаются к захоронению на приповерхностном полигоне для НАО, могут быть помещены в подходящие упаковки отходов и захоронены как другие НАО. |"
"Special attention may need to be paid to the combination of activity concentration and half-life, which may be higher in DSRSs than in other LLW. |При этом, возможно, потребуется уделить особое внимание вопросу сочетания характеристик объемной активности и периода полураспада, которые у ИЗРИ могут быть выше, чем у других НАО. |",This may or may not be consistent with the WAC for landfill type or near surface disposal facilities. |Такое сочетание характеристик может соответствовать или не соответствовать КПО для полигонов с земляной засыпкой или пунктов приповерхностного захоронения. |
"If it is not, one may evaluate the option of storing some of the DSRS inventory, until the natural decay reduces the activity concentration to a level consistent with the WAC. |В противном случае может быть рассмотрен вариант хранения части имеющихся ИЗРИ до тех пор, пока в силу естественного распада объемная активность не снизится до уровня, соответствующего КПО. |","If this does not provide a reasonable option, meaning that the safe disposal calls for a higher level of containment and isolation then provided by the near-surface disposal, available and efficient option may be borehole disposal at proper depth and with adequate engineered barriers. |Если этот вариант не представляется разумным, т.е. если для безопасного захоронения требуется более высокий уровень локализации и изоляции, чем при приповерхностном захоронении, доступным и эффективным вариантом может быть скважинное захоронение на надлежащей глубине и с достаточными инженерными барьерами. |"
"This could then be co-sited, or not, with the existing near surface facility, depending on site properties and other considerations.|В таком случае, в зависимости от свойств площадки и других соображений, скважина может быть обустроена на площадке уже существующего пункта приповерхностного захоронения или отдельно от него.|","If, in addition to operating a near surface disposal facility, the radioactive waste management programme needs to develop solutions for disposal of ILW or HLW, then DSRS unacceptable for disposal in the existing facility could be kept in long term storage until a geological repository is commissioned.|Если, помимо эксплуатации пункта приповерхностного захоронения, в рамках программы обращения с радиоактивными отходами необходимо также разработать решения по захоронению САО или ВАО, то ИЗРИ, не подлежащие захоронению на существующем пункте, могут быть помещены на долгосрочное хранение до тех пор, пока не будет введено в эксплуатацию геологическое хранилище.|"
Conditioning DSRSs for disposal — the waste package|Кондиционирование ИЗРИ для захоронения — упаковка отходов|,"A radioactive device contains one or more radionuclides of known radioactivity and chemical form, sealed in a special capsule providing primary containment. |Радиоактивное устройство содержит один или несколько радионуклидов известного уровня радиоактивности и химической формы, запечатанных в специальную капсулу, которая обеспечивает первичное удержание. |"
"In most cases, the radioactive sources will need to be further conditioned and packaged prior to disposal to contribute to the robustness of their long term containment (see Section 10), and to adapt the waste package to the disposal facility. |В большинстве случаев перед захоронением радиоактивные источники должны быть дополнительно кондиционированы и упакованы, что повысит надежность их долгосрочного удержания (см. раздел 10) и позволит адаптировать упаковку отходов к условиям пункта захоронения. |","A radioactive source package for disposal can contain more than one type of source and may comprise additional containment layers and any matrix material added to improve its overall safety performance. |В предназначенной для захоронения упаковке радиоактивных источников может содержаться более одного типа источников, а также могут быть предусмотрены дополнительные защитные слои и тот или иной наполнитель, добавленный для повышения общего уровня безопасности. |"
"This effectively provides an engineered barrier for isolation and containment, and should be designed consistent with and suitable for the chosen disposal option.|Такое решение фактически обеспечивает инженерный барьер для изоляции и локализации отходов, который должен проектироваться в соответствии с выбранным вариантом захоронения и быть пригодным для него.|",The design requirements for a disposal package are discussed in detail in Ref. [48]. |Требования к проектированию упаковки для захоронения подробно рассматриваются в [48]. |
"The package might be designed to contribute to the containment of the radioactive sources by preventing or limiting the release of radionuclides into the geosphere. |Упаковка может быть спроектирована таким образом, чтобы способствовать локализации радиоактивных источников путем предотвращения или ограничения выброса радионуклидов в геосферу. |","Two approaches can be applied to ensure longevity of the containment: Use of corrosion resistant materials, or use of a thick walled container that would require a sufficiently long time to corrode. |Для обеспечения долговечности такой локализации могут применяться два подхода: использование коррозионно-стойких материалов или использование толстостенного контейнера, который достаточно длительное время может сопротивляться коррозии. |"
"In both cases the materials selected for packaging, as well as the effects of the physical and geochemical environment in the disposal zone, play an important role. |В обоих случаях важное значение имеет выбор материалов для изготовления упаковки, а также воздействие физической и геохимической среды в зоне захоронения. |","Typically, the external layer of the package may consist of metal, concrete or composite materials. |Внешний слой упаковки, как правило, может состоять из металла, бетона или композитных материалов. |"
"The matrix (backfill) in which the radioactive sources are immobilized may also have a significant effect on the properties of the package and can strongly influence its required performance.|В значительной мере определять свойства упаковки, а также сильно влиять на ожидаемые эксплуатационные характеристики может также тампонажный материал (наполнитель), который используется для иммобилизации радиоактивных источников.|","Chemical, microbiological or radiolytic processes may take place within the radioactive source package, giving rise to gas, heat and/or corrosion, depending on the radionuclide, its activity and the characteristics of the package materials. |В упаковке радиоактивного источника могут происходить химические, микробиологические или радиолитические процессы, в результате которых — в зависимости от конкретного радионуклида, его активности и свойств материалов упаковки — может образовываться газ, тепло и/или возникать коррозия. |"
